"variable_name","value_type"
"_307795","Numeric"
"_307796","Numeric"
"_307799","Numeric"
"_307800","Numeric"
"_307804","Numeric"
"_307806","Numeric"
"_307807","Numeric"
"_307808","Numeric"
"_307809","Numeric"
"_307810","Numeric"
"_307811","Numeric"
"_307812","Numeric"
"_307814","Numeric"
"_307815","Numeric"
"_307816","Numeric"
"_307839","Numeric"
"_307840","Numeric"
"_307842","Numeric"
"_307925","Categorical"
"_307926","Categorical"
"_307928","Numeric"
"_307929","Categorical"
"_307930","Categorical"
"_307932","Categorical"
"_307933","Categorical"
"_307936","Categorical"
"_307962","Categorical"
"_307965","Categorical"
"_307967","Categorical"
"_307968","Categorical"
"_307969","Numeric"
"_307971","Categorical"
"_307972","Categorical"
"_307973","Categorical"
"_307974","Numeric"
"_307975","Categorical"
"_307976","Categorical"
"_307978","Categorical"
"_307979","Categorical"
"_307980","Categorical"
"_307981","Categorical"
"_307982","Categorical"
"_307983","Categorical"
"_307984","Categorical"
"_307985","Categorical"
"_307986","Categorical"
"_307988","Categorical"
"_307989","Categorical"
"_307990","Categorical"
"_307991","Categorical"
"_307996","Numeric"
"_308033","Categorical"
"_308035","Numeric"
"_308047","Categorical"
"_308054","Categorical"
"_308089","Categorical"
"_308091","Categorical"
"_308099","Categorical"
"_308137","Numeric"
"_308146","Numeric"
"_308147","Numeric"
"_308148","Numeric"
"_308149","Numeric"
"_308150","Numeric"
"_308151","Categorical"
"_308152","Numeric"
"_308163","Categorical"
"_308171","Numeric"
"_308199","Numeric"
"_308245","Numeric"
"_308356","Numeric"
"_308409","Numeric"
"_308497","Categorical"
"_308548","Numeric"
"_308612","Numeric"
"_308613","Numeric"
"_308614","Numeric"
"_308615","Numeric"
"_308618","Numeric"
"_308714","Numeric"
"_308830","Categorical"
"_308832","Categorical"
"_308835","Categorical"
"_308840","Categorical"
"_308853","Numeric"
"_309032","Numeric"
"_309033","Categorical"
"_309136","Numeric"
"_309189","Numeric"
"_309213","Numeric"
"_309215","Numeric"
"_309232","Numeric"
"_309246","Numeric"
"_309309","Numeric"
"_309315","Categorical"
"_309331","Categorical"
"_309367","Numeric"
"_309456","Categorical"
"_309667","Numeric"
"_309687","Numeric"
"_309790","Categorical"
"_309791","Numeric"
"_309864","Categorical"
"_309872","Categorical"
"_309925","Categorical"
"_309996","Categorical"
"_310219","Numeric + Categorical"
"_310239","Categorical"
"_311049","Numeric"
"_311206","Numeric"
"_311241","Categorical"
"_311250","Categorical"
"_311268","Categorical"
"_311277","Categorical"
"_311278","Categorical"
"_311306","Numeric"
"_311307","Categorical"
"_311327","Numeric"
"_311333","Categorical"
"_311334","Numeric"
"_311353","Categorical"
"_311439","Numeric"
"_311466","Categorical"
"_311467","Numeric"
"_311644","Categorical"
"_311682","Numeric"
"_311684","Categorical"
"_311685","Categorical"
"_311686","Numeric"
"_311689","Categorical"
"_311843","Numeric"
"_311882","Numeric"
"_311951","Categorical"
"_312119","Categorical"
"_312396","Categorical"
"_312627","Numeric"
"_312992","Categorical"
"_313029","Categorical"
"_313030","Categorical"
"_313115","Categorical"
"_313117","Categorical"
"_313121","Categorical"
"_313122","Categorical"
"_313124","Categorical"
"_313125","Categorical"
"_313128","Categorical"
"_313129","Categorical"
"_313500","Categorical"
"_314039","Numeric"
"_314040","Categorical"
"_314041","Categorical"
"_314668","Categorical"
"_314673","Categorical"
"_314674","Categorical"
"_314679","Categorical"
"_314680","Categorical"
"_314683","Categorical"
"_314686","Categorical"
"_314689","Categorical"
"_314694","Numeric"
"_314695","Numeric"
"_314701","Categorical"
"_314705","Categorical"
"_314726","Numeric"
"_314761","Categorical"
"_314762","Categorical"
"_314766","Categorical"
"_314777","Categorical"
"_314781","Categorical"
"_314783","Categorical"
"_314785","Categorical"
"_314786","Categorical"
"_314788","Categorical"
"_314789","Categorical"
"_314791","Categorical"
"_314792","Numeric"
"_314795","Categorical"
"_314797","Categorical"
"_314798","Categorical"
"_314799","Categorical"
"_314803","Categorical"
"_314805","Categorical"
"_314815","Categorical"
"_314820","Categorical"
"_314830","Categorical"
"_314834","Categorical"
"_314851","Categorical"
"_314854","Categorical"
"_314856","Categorical"
"_314862","Categorical"
"_314863","Numeric"
"_314877","Numeric"
"_314879","Numeric"
"_314880","Categorical"
"_314881","Categorical"
"_314882","Categorical"
"_314883","Categorical"
"_314884","Categorical"
"_314887","Categorical"
"_314888","Numeric"
"_314902","Categorical"
"_314904","Categorical"
"_314905","Categorical"
"_314907","Categorical"
"_314908","Categorical"
"_314910","Categorical"
"_314912","Categorical"
"_314914","Categorical"
"_314927","Categorical"
"_314949","Categorical"
"_314996","Numeric"
"_315000","Numeric"
"_315007","Numeric"
"_315009","Categorical"
"_315011","Categorical"
"_315013","Categorical"
"_315015","Categorical"
"_315029","Categorical"
"_315031","Categorical"
"_315032","Categorical"
"_315033","Categorical"
"_315035","Categorical"
"_315048","Numeric"
"_315049","Numeric"
"_315052","Numeric"
"_315059","Numeric"
"_315062","Numeric"
"_315089","Numeric"
"_315100","Categorical"
"_315119","Numeric"
"_315130","Categorical"
"_315142","Categorical"
"_315169","Categorical"
"_315193","Numeric"
"_315213","Categorical"
"_315223","Categorical"
"_315252","Categorical"
"_315276","Numeric"
"_315278","Numeric"
"_315303","Categorical"
"_315312","Categorical"
"_315314","Categorical"
"_315365","Categorical"
"_315368","Categorical"
"_315388","Categorical"
"_315478","Numeric"
"_315493","Categorical"
"_315499","Categorical"
"_315513","Numeric"
"_315520","Categorical"
"_315604","Categorical"
"_315611","Numeric"
"_315612","Numeric"
"_315618","Numeric"
"_315620","Numeric"
"_315621","Numeric"
"_315623","Numeric"
"_315624","Numeric"
"_315625","Numeric"
"_315626","Numeric"
"_315628","Numeric"
"_315629","Numeric"
"_315630","Numeric"
"_315631","Numeric"
"_315632","Numeric"
"_315634","Numeric"
"_315635","Numeric"
"_315636","Categorical"
"_315637","Numeric"
"_315638","Numeric"
"_315639","Numeric"
"_315641","Numeric"
"_315642","Numeric"
"_315643","Numeric"
"_315644","Numeric"
"_315645","Numeric"
"_315647","Numeric"
"_315648","Categorical"
"_315649","Numeric"
"_315650","Categorical"
"_315651","Numeric"
"_315652","Numeric"
"_315656","Numeric"
"_315657","Numeric"
"_315663","Categorical"
"_315671","Numeric"
"_315672","Numeric"
"_315680","Numeric"
"_315747","Categorical"
"_315906","Numeric"
"_315908","Numeric"
"_315910","Categorical"
"_315942","Categorical"
"_315967","Categorical"
"_316200","Categorical"
"_316204","Numeric"
"_316207","Numeric"
"_316214","Numeric"
"_316465","Categorical"
"_316466","Categorical"
"_316467","Categorical"
"_316468","Categorical"
"_316469","Categorical"
"_316470","Categorical"
"_316471","Categorical"
"_316472","Categorical"
"_316473","Categorical"
"_316474","Categorical"
"_316475","Categorical"
"_316476","Categorical"
"_316477","Categorical"
"_316478","Categorical"
"_316479","Categorical"
"_316480","Categorical"
"_316497","Numeric"
"_316509","Categorical"
"_316517","Numeric"
"_316533","Categorical"
"_316548","Categorical"
"_316549","Categorical"
"_316644","Categorical"
"_316649","Categorical"
"_316650","Categorical"
"_316653","Categorical"
"_316654","Categorical"
"_316655","Categorical"
"_316657","Categorical"
"_316743","Categorical"
"_316744","Categorical"
"_316745","Categorical"
"_316746","Categorical"
"_316852","Categorical"
"_316853","Categorical"
"_316854","Categorical"
"_316855","Categorical"
"_316862","Categorical"
"_316863","Categorical"
"_316910","Numeric"
"_316916","Categorical"
"_316946","Numeric"
"_317127","Numeric"
"_317129","Numeric"
"_317130","Categorical"
"_317131","Categorical"
"_317301","Numeric"
"_317461","Categorical"
"_317462","Categorical"
"_317629","Numeric"
"_317630","Numeric"
"_317631","Categorical"
"_317642","Numeric"
"_317646","Numeric"
"_317787","Categorical"
"_317789","Numeric"
"_318247","Categorical"
"_318270","Numeric"
"_318272","Numeric"
"_318273","Numeric"
"_318324","Categorical"
"_318325","Categorical"
"_318367","Numeric"
"_318368","Numeric"
"_318450","Categorical"
"_318451","Numeric"
"_318454","Numeric"
"_318455","Numeric"
"_318456","Categorical"
"_318949","Categorical"
"_319049","Categorical"
"_319152","Categorical"
