variable_name,value_type
154252_dose,Numeric
154252_route,Categorical
154253_dose,Numeric
154253_route,Categorical
154254_dose,Numeric
154254_route,Categorical
154255_dose,Numeric
154255_route,Categorical
154256_dose,Numeric
154256_route,Categorical
154257_dose,Numeric
154257_route,Categorical
154259_dose,Numeric
154259_route,Categorical
154265_dose,Numeric
154265_route,Categorical
154271_dose,Numeric
154271_route,Categorical
154272_dose,Numeric
154272_route,Categorical
154273_dose,Numeric
154273_route,Categorical
154274_dose,Numeric
154274_route,Categorical
154278_dose,Numeric
154278_route,Categorical
154279_dose,Numeric
154279_route,Categorical
154280_dose,Numeric
154280_route,Categorical
154281_dose,Numeric
154281_route,Categorical
154285_dose,Numeric
154285_route,Categorical
154288_dose,Numeric
154288_route,Categorical
154291_dose,Numeric
154291_route,Categorical
154293_dose,Numeric
154293_route,Categorical
154297_dose,Numeric
154297_route,Categorical
154299_dose,Numeric
154299_route,Categorical
154300_dose,Numeric
154300_route,Categorical
154304_dose,Numeric
154304_route,Categorical
154306_dose,Numeric
154306_route,Categorical
154308_dose,Numeric
154308_route,Categorical
154309_dose,Numeric
154309_route,Categorical
154310_dose,Numeric
154310_route,Categorical
154315_dose,Numeric
154315_route,Categorical
154317_dose,Numeric
154317_route,Categorical
154319_dose,Numeric
154319_route,Categorical
154321_dose,Numeric
154321_route,Categorical
154325_dose,Numeric
154325_route,Categorical
154326_dose,Numeric
154326_route,Categorical
154328_dose,Numeric
154328_route,Categorical
154329_dose,Numeric
154329_route,Categorical
154331_dose,Numeric
154331_route,Categorical
154333_dose,Numeric
154333_route,Categorical
154334_dose,Numeric
154334_route,Categorical
154335_dose,Numeric
154335_route,Categorical
154336_dose,Numeric
154336_route,Categorical
154337_dose,Numeric
154337_route,Categorical
154339_dose,Numeric
154339_route,Categorical
154340_dose,Numeric
154340_route,Categorical
154341_dose,Numeric
154341_route,Categorical
154342_dose,Numeric
154342_route,Categorical
154346_dose,Numeric
154346_route,Categorical
154352_dose,Numeric
154352_route,Categorical
154358_dose,Numeric
154358_route,Categorical
154359_dose,Numeric
154359_route,Categorical
154362_dose,Numeric
154362_route,Categorical
154365_dose,Numeric
154365_route,Categorical
154366_dose,Numeric
154366_route,Categorical
154368_dose,Numeric
