"variable_name","value_type"
"122540_hilonormal_flag","None"
"122540_value","Categorical"
"142414_hilonormal_flag","None"
"142414_value","Numeric + Categorical"
"142647_hilonormal_flag","None"
"142647_value","Categorical"
"142945_hilonormal_flag","Categorical"
"142945_value","Numeric + Categorical"
"143289_hilonormal_flag","Categorical"
"143289_value","Numeric + Categorical"
"143290_hilonormal_flag","Categorical"
"143290_value","Numeric + Categorical"
"144406_hilonormal_flag","Categorical"
"144406_value","Numeric + Categorical"
"144409_hilonormal_flag","Categorical"
"144409_value","Numeric + Categorical"
"144410_hilonormal_flag","Categorical"
"144410_value","Numeric + Categorical"
"144411_hilonormal_flag","None"
"144411_value","Numeric + Categorical"
"145435_hilonormal_flag","None"
"145435_value","Categorical"
"149157_hilonormal_flag","Categorical"
"149157_value","Numeric + Categorical"
"149923_hilonormal_flag","None"
"149923_value","Categorical"
"150017_hilonormal_flag","Categorical"
"150017_value","Numeric + Categorical"
"151598_hilonormal_flag","Categorical"
"151598_value","Numeric + Categorical"
"152906_hilonormal_flag","Categorical"
"152906_value","Numeric + Categorical"
"153239_hilonormal_flag","None"
"153239_value","Numeric + Categorical"
"153240_hilonormal_flag","None"
"153240_value","Categorical"
"155437_hilonormal_flag","Categorical"
"155437_value","Categorical"
"209760_hilonormal_flag","None"
"209760_value","Categorical"
"216193_hilonormal_flag","Categorical"
"216193_value","Numeric + Categorical"
"328952_hilonormal_flag","None"
"328952_value","Numeric + Categorical"
"329696_hilonormal_flag","Categorical"
"329696_value","Categorical"
"329697_hilonormal_flag","Categorical"
"329697_value","Categorical"
"329698_hilonormal_flag","Categorical"
"329698_value","Categorical"
"337741_hilonormal_flag","None"
"337741_value","Categorical"
"337742_hilonormal_flag","None"
"337742_value","Categorical"
"337743_hilonormal_flag","None"
"337743_value","Categorical"
"337744_hilonormal_flag","None"
"337744_value","Categorical"
"337745_hilonormal_flag","None"
"337745_value","Categorical"
"345312_hilonormal_flag","None"
"345312_value","Categorical"
"345313_hilonormal_flag","None"
"345313_value","Categorical"
"345316_hilonormal_flag","None"
"345316_value","Categorical"
"345321_hilonormal_flag","None"
"345321_value","Categorical"
"361940_hilonormal_flag","None"
"361940_value","Categorical"
"376518_hilonormal_flag","Categorical"
"376518_value","Numeric"
"376523_hilonormal_flag","None"
"376523_value","Categorical"
"381544_hilonormal_flag","None"
"381544_value","Categorical"
"383296_hilonormal_flag","None"
"383296_value","Categorical"
"385607_hilonormal_flag","None"
"385607_value","Categorical"
"385608_hilonormal_flag","None"
"385608_value","Categorical"
"385609_hilonormal_flag","None"
"385609_value","Categorical"
"385610_hilonormal_flag","None"
"385610_value","Categorical"
"385611_hilonormal_flag","None"
"385611_value","Categorical"
"385612_hilonormal_flag","None"
"385612_value","Categorical"
"385613_hilonormal_flag","None"
"385613_value","Categorical"
"385614_hilonormal_flag","None"
"385614_value","Categorical"
"385615_hilonormal_flag","None"
"385615_value","Categorical"
"385616_hilonormal_flag","None"
"385616_value","Categorical"
"385617_hilonormal_flag","None"
"385617_value","Categorical"
"385618_hilonormal_flag","None"
"385618_value","Categorical"
"385619_hilonormal_flag","None"
"385619_value","Categorical"
"385620_hilonormal_flag","None"
"385620_value","Categorical"
"385621_hilonormal_flag","None"
"385621_value","Categorical"
"385622_hilonormal_flag","None"
"385622_value","Categorical"
"385623_hilonormal_flag","None"
"385623_value","Categorical"
